,capacity
SM-J320F,2600
HUAWEI TAG-L21,2200
Nexus 5X,2700
ONE E1003,2525
SM-T585,7300
TA-1032,2630
Redmi 4,4100
SUNSET2,1300
F5,3200
ASUS_Z00VD,2070
PULP,2500
LG-D290,1900
SM-N910U,3220
SAMSUNG-SM-J320A,2600
BIRDY,2000
VFD 710,3000
G620S-L01,2000
E6653,2900
5022D,2000
GI-I9500_TMMARS,2600
HTC One M8s,2840
SM-J320FN,2600
8050D,2580
HUAWEI CAN-L01,3020
LON-L29,4000
VTR-L09,3200
Archos 50f Helium,2000
6039K,2000
SM-N900,3200
LG-H320,1900
SM-G850F,1860
GT-P5100,7000
S5.5,2300
Moto G (4),3000
HUAWEI CUN-L01,2200
ASUS_Z00UD,3000
ALCATEL ONE TOUCH 7041X,1900
X800+,720
BG2-W09,3100
MI 5s,3200
NOS NEVA 80,2500
STF-L09,3200
XT1039,2070
Astro 5s,2000
G3112,2300
SM-G610F,3300
T10,3000
5080X,2460
FEVER,2900
SM-G3502T,1800
SM-G361F,2000
S3,2100
F3311,2300
Elite 1,4150
ASUS_A007,2650
HUAWEI RIO-L01,3000
D6603,3100
E7,2950
SM-J100H,1850
F3213,2700
LG-H420,2100
SM-T530,6800
Le X622,4000
GT-I9300,2100
VIE-L09,3400
XT1562,3630
Redmi Note 4X,4100
ONEPLUS A3010,3400
SM-E500M,2400
Lenovo PB2-670M,4050
E5823,2700
BLOOM,2120
LG-D802,3000
SM-A9100,5000
LG-E986,3140
MAGIC,5000
UMI_Diamond,2700
Redmi 3,4100
LG-H870,3300
DarkMoon,2000
Alpha,1860
T02,2420
HUAWEI G700-U10,2150
LG-D955,3500
Archos 55b Platinum,2000
ONE A2001,3300
LG-K500n,2300
VF-696,2500
Lenovo TB2-X30F,7000
XT1068,2070
C1X,4500
Nexus 9,6700
STARXTREM 6,4500
LG-H818,3000
Aquaris X Pro,3100
D5803,2600
HIGHWAY STAR,2450
E2105,2300
Mars,3800
BV6000S,6180
SM-G901F,2800
Power_2,4500
S7,3000
D2303,2300
SM-N930F,3500
Aquaris X5,2900
SM-G130H,1300
ONE LTE HD (ONE TORO),4300
SM-J500M,2600
P022,4000
SM-G920W8,2550
HUAWEI Y530-U00,1750
S30,3000
K5,3000
HTC One M9,2840
STUDIO SELFIE,2000
LG-H440n,2100
S10,3400
SM-G955W,3500
HT10,3200
JERRY MAX,2000
thl T9 Pro,4000
Z520,2000
GT-S7390,1500
ASUS_Z010D,5000
F3111,2300
LEAGOO M8,2600
Bluboo S1,2800
NEM-L51,3000
MI 3W,3050
E5333,2600
6055K,2610
MEIZU_M5,3070
SM-G530FZ,2600
SM-N920C,3000
bq Elcano 2 Quad Core,2850
HUAWEI G6-L11,2000
T03,2500
SM-T110,3600
Aquaris_M4.5,2470
SM-T230,4000
U FEEL,2500
Moto Z2 Play,3000
G7-L01,3000
LG-H870DS,3300
HTC One_M8,2600
Lenovo A916,2500
MHA-L29,4000
SM-T815,5870
PMT5002_Wi,4000
View,4000
ROBBY,2500
E2363,2400
Z Pro,4300
5010D,2000
T5,5100
ONEPLUS A3000,3000
MotoE2(4G-LTE),2390
G8231,2900
A37f,2630
GT-N7105,3100
LG-V700,8000
HUAWEI Y541-U02,1730
MYA-L11,3000
SM-A300F,1900
STV100-4,3410
SM-J120F,2050
SM-N915FY,3000
XT1092,2300
VF-795,1780
5051X,2500
LT30p,1850
Z2 Plus,3500
E6853,3430
E6633,2900
TA-1021,3000
LG-D722,2540
PLUS,2900
ZTE BLADE A610,4000
ASUS_Z00ED,2400
HUAWEI G7-L01,3000
TAB-M7410,6150
Z,3300
Aquaris X,3100
XT320,1650
NEM-L21,3000
ARCHOS 50c Neon,2000
SM-G9287,3000
HUAWEI LYO-L21,2200
SM-G530H,2600
LG-H525n,2540
Moto G 2014,2070
LG-D280,2100
Pixel 2 XL,3520
PLK-L01,3100
SM-J710MN,3300
ZTE A2017G,3250
5095K,2960
SM-J510MN,3100
E6833,3430
bq Aquaris 3.5,3100
ZUK Z2132,3500
Mi 4i,3120
LG-D410,2540
A6020l36,2750
VFD 510,2200
LEX820,3100
SM-T560NU,5000
HTC U11,3000
HUAWEI CRR-L09,2700
C4-S700,2600
2014819,2200
SM-N910P,3220
GT-N7100,3100
E2115,2300
Tab2A7-10F,3450
ALCATEL ONE TOUCH 7041D,1900
Nexus 4,2100
Classic_LTE,380
HTC_M10h,3000
MHA-AL00,4000
Halo X,4000
STARTRAIL 8,3000
VFD 900,3000
TREKKER-M1 CORE,3140
bq Aquaris 5,2850
Redmi Pro,4050
C2105,1750
GOA,3000
MediaPad T1 8.0,4800
m3 note,4100
EVA-DL00,3000
5010G,2000
HUAWEI ATH-UL01,3100
ALE-L02,2200
4047D,2050
Elite,4150
bq Aquaris,3100
GT-S6310N,1300
BLN-L21,3340
LEX720,4070
Nexus 6P,3450
WAX,2000
SM-G920I,2550
P01M,4000
SM-G950N,3000
MIX,4400
GT-P5110,7000
Lenovo A6020a40,2750
GT-I9305,2100
HT16,3000
GT-P5210,6800
Edison 3,7280
F3211,2700
SM-J320H,2600
P024,4000
SM-T710,4000
HS-G610,2150
HUAWEI Y625-U51,2000
SM-A710M,3300
MEO_Tablet_2,3400
K013,3950
LG-D335E,2540
GT-n7108,3100
MEDION E4506,2000
R7sf,3070
Nokia_XL,2000
ASUS_Z01HD,5000
Le X520,3000
ASUS_Z01BD,3000
2014813,2200
Aquaris M,3120
A7,3300
HUAWEI NMO-L31,3000
HIGHWAY SIGNS,2000
SM-A300H,1900
S60,3800
SM-G318H,1500
SM-T719,4000
Archos 50 Neon,2000
KOB-W09,4800
SM-T520,8220
LENNY2,1800
SM-T560,5000
ASUS_Z012DE,3000
B1-730HD,3700
HIGHWAY,2350
LG-P875,2150
GT-I9506,2600
P01Y,3500
Aquaris U,3080
E2333,2400
MI MAX 2,5300
LG-H635,3000
Pixel,2770
Mars pro,3800
XT890,2000
K010,5000
Nexus 7,4325
4033L,1300
SM-T820,6000
CPH1701,2900
ZUK Z2121,3100
Lenovo K33b36,3000
TA-1012,3090
LG-F600L,3000
M5 Note,4000
TA-1053,3000
LG-D620,2440
Moto G (5),2800
SM-G110H,1200
Vodafone 785,1400
S5E,7040
H60-L04,3100
Lenovo A6000,2300
Lenovo TB3-X70F,7000
JERRY,2000
LENNY3,2000
LG-V500,4600
V80 PLUS,820
Vodafone 890N,1880
GT-N8020,7000
HTC One,2300
SM-N750,3100
bq Curie 2,3100
HUAWEI Y625-U21,2000
SUNNY2,1300
5090Y,4000
G8141,3230
GLOW 10.1 3G 3.1 8GB,7000
NX505J,3100
iris 512,1750
SM-N950N,3300
Philips_S307,1400
HUAWEI Y336-U02,1730
XT1097,2300
Moto G (5S),3000
SM-J200G,2000
AGS-W09,4800
SM-T116NU,3600
SM-T580,7300
LG-K350,2125
BV6000,6180
GT-I9082,2100
XT1650,2600
INFINIX-X551,2100
LG-H540,3000
Pixel XL,3450
LG-V400,4000
MIX 2,3400
ASUS_X00DDA,4100
LS-4505,1800
T1,4100
Plus E,2900
ZTE Blade L3,2000
XT1058,2200
ZTE A2017,3250
ASUS_Z012DC,3000
SM-G900M,2800
XT1635-02,3510
SM-G925I,2600
LG-M400,3200
LG-K580,2520
Lenovo A6020l36,2750
ASUS_Z017DC,2600
SM-J105B,1500
XT1069,2070
SM-G360BT,2000
SM-A500M,2300
P6000 Pro,6180
XT1033,2070
Moto X Play,3630
SM-A510M,2900
SM-G570M,2400
Moto E (4) Plus,5000
LG-M250,2800
ASUS_X008DB,4100
SM-T210R,4000
SM-G532MT,2600
Moto G,2070
XT1040,2070
ASUS_X013D,3010
SM-G928G,3000
V502430,4000
MotoG3-TE,2470
SM-J700M,3000
E2124,2300
5010E,2000
Xperia SP,2370
D6633,3100
SM-N910C,3220
XT1225,3900
TA-1004,3090
XT1095,2300
SM-G610M,3300
XT1580,3760
ZUK Z2131,3500
HTC_E9pw,2800
A19 Plus,5000
D2306,2300
Quantum MUV PRO,1500
SM-G531BT,2600
5047Y,2200
ASUS_A002,3300
NX511J,2900
SUNNY,1200
G8342,2700
GT-S7582L,1500
ASUS_Z01KD,3300
MI 4LTE,3080
xiaomi-1s,2000
G8142,3230
LGUS997,3300
Gemini Pro,3000
Micromax Q4101,1800
SM-A510Y,2900
GT-N8000,7000
P028,4890
Lenovo TAB 2 A10-70F,7000
lephone_W7,1500
GT-I8552B,2000
S8,3000
Sunny2 Plus,2000
LG-H990,3200
Moto G4,3000
ELUGA_I5,2500
SM-G955U,3500
VOLT,3000
P01MA,3950
Mi4c,3080
SM-J100VPP,1850
LG-H873,3300
LG-v410,4000
H220,1900
Moto G4 Plus,3000
XT1572,3000
ONEPLUS A5010,3300
XT1685,3000
MI 4,3080
Xperia Z3,3100
XT1663,3050
PRO 5,4035
Lenovo P1ma40,4000
SM-N910G,3220
HTC One A9,2150
SHIELD Tablet K1,5200
5046D,2460
INTEX AQUA LIONS 4G,2300
ASUS_Z00LD,3000
U15 Pro,5000
Armor_2,4700
SGH-I257M,1900
G1,1150
Nexus 7 3G,4325
Lenovo P780,4000
SM-N950U,3300
GT-N5110,4600
P5 mini,1800
s660,3000
MITO_A69,5500
SM-J105M,1500
SM-T533,6800
i5,2000
SANTIN #Armor,4000
XT1575,3000
SM-G110B,1200
Lenovo K33a48,3000
P027,5900
vivo 1714,3000
C5-S508,2600
Lenovo TB3-710F,3450
Lenovo A606,2000
K6,3000
ASUS_Z012DA,3000
SM-J105F,1500
LG-K410,2300
LG-D337,2460
LG-H830,2800
Mi Max,4850
MediaPad 7 Vogue,4100
SM-T705,4900
Halo,4000
KFGIWI,3210
SGP621,4500
ASUS_X00HD,4100
LG-M153,2500
ANE-LX1,3000
Moto C Plus,4000
BLA-L29,4000
DROID RAZR HD,2530
LG-F800K,3200
SM-G930V,3000
moto x4,3000
SM-G930P,3000
LEX727,4070
Pixel 2,2700
SM-T813,5870
FREEDOM C105,800
SM-G950U,3000
SM-G960F,3000
MI PAD,6000
SM-G955N,3500
SM-T211,4000
LG-E975,2100
X15,3000
S2,1650
SM-J100M,1850
X53,2500
G8341,2700
Redmi Note 5 Pro,4000
Monaco,1750
ZTE Q501U,1250
WAS-AL00,3000
HTC Desire 530,2200
SUGAR Y7 MAX,4000
ALE-L23,2200
SM-J111M,1900
vivo 1606,2500
GT-S7582,1500
Infinix X559C,4000
Micromax C1,2500
SM-G360H,2000
5015E,2000
LM-X210(G),2410
i4C,3080
Philips S308,1400
Redmi 5A,3000
LG-H502,2540
GT-I8200,1500
LG-LS777,3200
LGMS330,2125
Micromax Q391,3000
SM-J701F,3000
P7 Max,3100
Desire R6,1400
HUAWEI Y625-U32,2000
SM-G610Y,3300
Aqua Air II,2000
Coolpad 3600I,4010
SM-T113,3600
CRO-L03,2200
L52,3000
SM-J510GN,3100
SM-J600G,3000
Micromax Q4001,1600
POLYTRON 4G450,2400
HUAWEI Y560-L01,2000
SM-E500H,2400
SM-J110H,1900
R815,1700
P55 Max,5000
XT1254,3900
Micromax Q415,1800
vivo 1610,2730
GT-I8200L,1500
SM-E700H,2950
QMobile i6i,1800
vivo Y51L,2350
SM-J320G,2600
Z851M,2000
SM-T111,3600
Micromax Q402,1300
GT-I9100,1650
Griffe T3,4800
PGN610,3150
LGLS676,2100
SM-G7102,2600
A466BG,1500
SM-J120M,2050
Z60,2500
GT-I9082L,2100
BND-L31,3340
S4M,1900
SC-01G,3000
BLU STUDIO G2,2200
GT-N7000,2500
GT-S6293T,1200
SM-J727T1,3300
Z965,3000
Alcatel_5044C,2050
Thrill Boost 2,3000
MITO A91,4025
Micromax Q394,4000
LG-X230,2500
SM-S727VL,3300
SAMSUNG-SM-G530A,2600
GT-I8200N,1500
SM-G900T,2800
SM-G900H,2800
LG-K425,2300
A77,3200
SAMSUNG-SM-N910A,3220
SM-J200M,2000
Z993,1780
N9136,3400
IS2_Plus,2370
Z899VL,2730
Coolpad E502,2500
SM-G532M,2600
Z10,1800
SM-J106B,1500
LG-H831,2800
SM-G313HZ,1500
HUAWEI Y520-U03,1750
GT-S6310,1300
Gpad 706,4600
Atom 2X,2000
LG-K430,2300
Joy Pro,1700
A37fw,2630
M8 Pro,3000
LG-D850,3000
Redmi Y1 Lite,3080
Infinix X573,4000
Konnect Grand,2100
SM-T805Y,7900
U2S,3100
LG-K200,2100
CliQ,1420
SM-J700F,3000
GT-I9300I,2100
A75,650
moto g(6) play,4000
SM-J210F,2600
HUAWEI Y300-0151,1730
SM-J320P,2600
Lenovo A319,1500
Le X507,3000
iris505,2000
SM-N900V,3200
HUAWEI Y360-U103,1730
Z957,3140
vivo Y21,1900
HTC Desire 600 dual sim,1860
LGLS450,1940
SM-G615F,3300
GT-S7270,1500
SM-J105H,1500
Lenovo A1000m,2000
Titanium Octane,2000
PAD_7,6700
7200,760
vivo Y31L,2100
Elite 4G,3000
SM-J120G,2050
A33w,2420
SM-J730GM,3600
HUAWEI LUA-U22,2100
LG-F180K,2100
LG-D165AR,1540
QMobile X700 PRO II,1920
MITO A880,2500
Micromax E455,2500
Y541-U02,1730
COMIO C2,2750
K-3,3765
GT-S6792L,1300
SAMSUNG-SM-N900A,3200
HTC Desire 620G dual sim,2100
5045T,2000
S7C,4325
LGMS631,3000
Micromax HS2,2980
SM-G318HZ,1500
2014818,2200
SM-G532G,2600
5038D,1800
Lenovo A2016b30,2000
Moto E (4),2800
itel S31,4000
LS-5020,2300
A250,900
Aqua 3G Pro,2300
Blade A310,2000
Micromax A106,2000
Z798BL,3400
LG-K373,2125
Micromax Q301,1400
vivo Y15,5000
QMobile i2,2000
SM-J327P,2600
Lenovo A2010-l,2000
Astra NXT 4G,4000
TECNO F7,3400
STV100-2,3410
vivo V3Max,3000
HTC Desire 626s,2000
Tab2A7-20F,3450
A52,5000
ALCATEL ONE TOUCH 4037T,1400
ONE TOUCH 4033A,1300
D2533,2500
S50F,4290
SM-G530M,2600
CPH1725,3200
SM-G531H,2600
5010S,2000
SM-G900P,2800
SM-S327VL,2600
Lenovo A7700,2900
5049W,3000
Micromax Q413,2000
MITO A73,2000
SM-J111F,1900
ALCATEL ONE TOUCH 5020A,1400
LG-D393,2100
SM-S120VL,472
Alcatel_5044R,3200
Lenovo YT3-X50F,8400
A11w,2000
SM-G3502L,1800
ZTE BLADE A210,1250
SM-G313HN,1500
LG-D693n,3000
LG-X220,1900
CAM-L03,2200
9020A,4100
N817,1650
A8,3000
Lenovo A6010,2300
P5L,2300
LG-E612g,1500
SM-G318ML,1800
SM-G900T1,2800
aQUa COSTA,2300
i6S+PRO,1715
GT-P3100,4000
SAMSUNG-SGH-I747,2100
CPH1609,3200
Redmi 5,3300
iris 505c,2000
LS-4508,1800
Pixel V2,2700
Micromax Q4201,2000
HTC Desire 828 dual sim,2800
5041,2050
ALCATEL ONE TOUCH 7040A,1900
SM-J110G,1900
SM-G6000,3000
CAM-UL00,3100
S50C,2630
HTC Desire 616 dual sim,2000
vivo X9,3050
NH001,1650
GT-I9070,1500
MYA-U29,3000
EVERCOSS A7B,1400
HUAWEI CUN-U29,2200
ZTE Blade A462,2200
QMobile X700 PRO,1920
Nokia 6.1,3000
SM-J100F,1850
XT1063,2070
BRAVIS X500,870
SM-G360M,2000
Royal R1,1650
LG-D175f,1700
R831K,1900
Lenovo K33a42,4000
A1603,2420
SGH-T999L,2100
Nokia 2,4100
SM-G355M,2000
U22,2100
Galaxy s7 edge,3600
Ufeel 4G,2500
Speed55,2230
5049Z,1800
COMIO S1 Lite,2700
Lenovo A7020a48,3500
GT-I9200,3200
GT-S5282,1200
Micromax A107,2000
Aqua Trend,3000
LGMP260,2700
Z981,3400
C6503,2370
5056X,2500
vivo 1601,3000
Lenovo A850,2250
SAMSUNG-SM-J327AZ,2600
LS-5505,1800
5015D,2000
SM-J110M,1900
vivo 1611,3160
8063,2580
BLU Advance 5.0,2000
ADVAN M4,5000
SM-A310N0,2300
SM-T350,4200
Z557BL,3400
RCT6973W43,3400
LG-P880,2150
HUAWEI SCL-U31,2200
Blade L2,2000
5045A,2000
ZTE Kis II Max,1850
PSP5506DUO,1950
HUAWEI CUN-L03,2200
coolpad E2,2500
Lenovo TB-X103F,7000
M4 SS4045,5000
HT7,1300
iris 450P,1800
Hol-U19,2000
HUAWEI Y560-U02,2000
QMobile X250,2000
HUAWEI Y360-U61,1730
S5J,3000
Micromax Q402 Ultra,1300
Z835,2100
1201,1900
Lenovo A1000,2000
Lenovo TB-7304I,3500
Tab 1_3G,7040
INTEX AQUA A4,2300
vivo V3,2550
YU4711,2000
SM-J500G,2600
S4Z,2330
SM-N916K,3220
HUAWEI Y360-U82,1730
A75B,1400
SAMSUNG-SM-T377A,5000
A65B,1500
QMobile i6 Metal ONE,2000
Micromax Q4202,1800
QMobile i7i PRO,1700
SM-J327T1,2400
MediaPad 7 Youth 2,4100
GT-I9063T,2600
DLI-TL20,3020
X1,3000
LGMS210,2410
Smart MAX,3000
EGO,960
QMobile i12,2000
LG-F320K,3000
GT-I8160,1500
A5,2300
Infinix X572,4300
SM-G550FY,2600
E5,4000
XT1030,2000
J5,2600
LGL16C,2540
K012,3910
LG-H811,3000
T89,1850
PixelV1,2560
Z50,2000
SM-G925T,2600
COMIO P1,1670
C1904,1750
LAVA_A44,1500
Redmi Note 5A,3080
SM-J250F,2600
K-1,3600
LGUS215,2500
HTC Desire 310 dual sim,2000
SM-J106H,1500
Infinix HOT 4,4000
1032,2630
4034E,1500
X3,4100
SCH-I545,2600
M4 SS4457,5000
BLU STUDIO G,2000
Atom 2,1750
4032D,1300
LG-TP260,2700
SM-G892A,4000
LGMS550,2900
LG-E450,1700
Moto C,2350
A97,2350
LG-V521,4800
SM-G360P,2000
LG-M154,2500
LGL52VL,2300
LGL44VL,1940
SM-S550TL,2600
P2S,1600
WE S1,4500
S45,850
TAB-6122-8G3G,5100
Z852,2100
HUAWEI KII-L22,3000
RageZing4.5,2600
SM-A500G,2300
vivo 1724,3360
Beeline Smart 3,2200
GT-S6812,1300
lephone_W12,1500
SM-G600FY,3000
Micromax A102,2500
NX16A8116K,3800
Wind Tab 10,7000
INTEX AQUA LIONS 3,2300
Lenovo TB3-710I,3450
TECNO-Y6,3020
Fire,2400
YU5510A,2500
QMobile S6S,2500
Z956,3140
SM-J727U,3600
X510,800
Flare S5,2800
W_K300,2000
F3116,2300
itel A44,1500
HUAWEI Y520-U12,1750
Panasonic P77,2000
SM-T230NU,4000
ASUS_Z007,2100
Z718TL,2300
CPH1729,3180
JS1,1850
Aqua 4.5Pro,1600
LGLS991,3000
MYA-L23,3000
SM-G920V,2550
Lenovo A2010-a,2000
Lenovo A1010a20,2000
P11s,2000
Halona,1400
SPH-L720T,2600
Archos Access 50 4G,2000
LGLK430,4000
9008A,3000
SM-S820L,2000
GT-S5312C,1200
vivo 1716,3225
LGLS775,3000
LGL33L,2100
SM-J200GU,2000
MYA-L22,3000
SC-02H,3600
Redmi Y1,3080
HTC Desire 626 dual sim,2000
SM-T113NU,3600
ASUS_X00BD,2600
GIONEE X1,3000
5044A,2050
XT1706,3500
ACEPRO 4G,4025
Micromax E313,2500
Aqua Speed,1700
M53,3020
vivo 1723,3260
HTC One dual sim,2300
A67,2000
ZTE BLADE A601,4000
A97 2GB PLUS,2350
MTECH TURBO 4G,2350
Aqua 4G Strong,2300
Micromax A79,2200
HTC One X9 dual sim,3000
Lenovo A2020a40,2300
X28 Plus,2600
INTEX AQUA AMAZE+,2300
4024D,1450
PGN-508,860
SM-G350E,1800
SM-G530W,2600
E2043,2300
Micromax AQ5001,3000
QMobile X700i,1920
Z982,4080
QMobile X700 PRO Lite,1920
SM-G316HU,1500
LG-H221AR,1900
R1001,1700
SCH-I415,1800
Smart 12 4G plus,3900
YU5010A,2230
GT-S6810,1300
A1601,3075
Nokia 1,2150
Micromax A082,1800
LG-M210,2410
ZTE BLADE V0720,2500
SM-J700P,3000
SM-N920V,3000
HUAWEI Y360-U31,1730
SM-J330G,2400
SM-G935V,3600
SM-G935T,3600
LGL84VL,3200
D6708,3200
G3121,2300
SM-G920T,2550
LG-D157f,5000
5017B,1800
SP4541-Gemini,1150
LG-H520,2540
Lenovo A5000,4000
4003A,1400
HUAWEI LUA-U23,2100
HM NOTE 1LTE,3100
5025G,2500
SM-G530F,2600
C6743,2100
QMobile i1,1700
TRT-L53,4000
MYA-L13,3000
Lenovo S660,3000
G630-U10,2000
POLYTRON R1500,3000
HTC One X,1800
Blade A475,2000
Micromax E311,2400
LG-F750K,4100
SM-N910V,3220
Micromax AQ4501,1700
LG-X145,1540
Lenovo S650,2000
Axioo_AX7,3500
Aqua Strong 5.1,2300
Smart 4G,1880
A1-811,4960
A33f,2400
Micromax E481,2900
SM-G313F,1800
Lenovo A328,2000
S50D,2630
V32,3000
Neffos Y5i,2350
MEIZU M6,3070
SM-J106F,1500
X2,4000
Andromax Marshmallow Build III,1900
LG-D100,1540
SM-G570F,2400
GT-S7262,1500
InFocus M500,5500
LGM-X320L,4500
Z1,3000
M5_lite,7500
LS-5009,2420
SM-A720F,3600
MicromaxP480,3200
LG-D325,2100
A97 IPS,2350
Alcatel 5085C,2800
CPH1801,3000
9006W,2840
MY MOBILE 708,750
Cosmos V15,3400
P66,3200
XT1609,2800
SM-G530T,2600
SM-A520W,3000
NOVA,3020
YD201,2500
SM-G130M,1300
ZTE Blade C310,1250
Tmovi YeahLIVE,3000
X10,1500
Redmi Note 5,4000
X170,2540
SM-G318MZ,1500
SGH-I727R,1850
G630-U251,2000
SM-J700T1,3000
GT-S5310,1200
LG-K540,3000
HUAWEI G610-U15,2150
A75 MAX,1300
lephone_W2,1500
Z70,3450
MT25i,1500
V23,3400
SM-J727V,3300
A74A,1500
SM-J320M,2600
Smartfren Andromax AD688G,1300
Micromax Q326,1450
QMobile S6 PLUS,2500
INTEX AQUA YOUNG 4G,2300
SM-J327V,2600
SM-G930T,3000
S16,3010
CPH1717,3000
SM-G928T,3000
GT-S7392,1500
Flare J2S,2600
vivo Y15S,5000
VF695,1400
HTC Desire 626G dual sim,2000
GT-S7272,1500
GT-I8260L,1800
RAINBOW LITE 4G,2000
SM-N900P,3200
P3S,2000
LS-5010,780
SM-T285,4000
Alcatel_6055U,2610
5044G,2050
IdeaTabA2109A,3550
MACHFIVE,2000
Coolpad 3505I,2500
M8,2600
5061,4490
cp3636a,2450
GT-P3110,4000
GT-S7562,1500
Mate 9,4000
SM-G920R4,2550
A71,4500
Coolpad R106,2500
Advance 4.0 L3,1300
SLA-L22,3020
lephone_W10,4000
U PULSE LITE,3000
SM-G7105,2600
Symphony P7,2300
SM-T116,3600
SM-G965F,3500
Micromax Q383,2000
HUAWEI SCL-L01,2200
Aqua 4G+,2300
5054N,2500
P5W,2000
4034A,1500
LG-K120,1940
GT-I9190,1900
916,1500
SCH-I535,2100
R827,2000
SM-G900D,2800
ZTE BLADE A602,4000
Aqua Twist,4000
Lenovo S5000-F,3450
Z812,2100
UP Ultra,3000
O1,3100
SM-J100MU,1850
C1505,1530
XT1034,2070
LG-TP450,3080
HUAWEI TIT-AL00,4000
SAMSUNG-SM-G530AZ,2600
Lenovo S90-A,2300
5044O,2050
Nova S2,3340
B9504,2150
D2114,1750
XT1025,1980
vivo 1603,2650
BLADE L7,2500
Blade A510,2400
Z832,1650
LGLS665,1900
TECNO IN5,3000
SM-G928P,3000
LGMS345,1900
A50,4000
ASUS_T00I,1200
vivo 1718,3000
F3,3200
Micromax Q382,3000
F1f,2500
iris360,1400
Q890,2600
Z51Q Star,3700
Micromax Q4260,4000
Aqua Joy,2850
Micromax A116,2000
XT1022,1980
POLYTRON-R2507,2400
DLI-L22,3020
Blade L2 Plus,2000
Micromax Q380,2000
i5E,2500
SM-J500H,2600
GT-N5100,4600
MAXTRON Apollo,2000
Micromax Q465,3900
G3311,2620
HP 7,2800
6055A,2610
LS-5507,1950
LGL31L,4300
Lenovo K50a40,3000
SHV-E220S,2100
Alcatel 6055U,2610
vivo 1713,3000
SCH-S738C,1500
LG-E450f,1700
8050G,2580
BLU STUDIO C MINI,2000
Intex_Aqua_Dream,2000
P6,2000
A40 Indian,3100
SM-N900T,3200
CRO-L23,2200
PGN528,3140
GT-I9195L,1900
ONE TOUCH 4011X,1400
4013M,1400
itel A11,1500
